location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
town,Achhnera,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Agra,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Akola,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Azizpur,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Bah,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Bateshwar,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Fatehabad,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Fatehpur Sikri,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Jagner,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Jaitpura Kalan,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Khandauli,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Kheragarh,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Kiraoli,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Shamsabad,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Swamibagh,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Amethi,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Bakshi Ka Talab,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Chinahat,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Gosainganj,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Itaunja,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Kakori,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Kalli Pashchim,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Lucknow,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Mahona,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Malihabad,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Araul,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Armapur Estate,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bhimsen,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bhitargaon,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bidhnu,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bilhaur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Binaur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bithoor,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Chakeri,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Choubepur Kalan,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Gangupur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Ghatampur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Kalyanpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Kanpur Cantonment,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Karbigwan,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Maharajpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Makanpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,New Kanpur City,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Northern Railway Colony,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Padri Lalpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Patara,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Sarh,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Sarsaul,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Shivrajpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Varanasi,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Ramnagar,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Lohta,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Phulwaria,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Shivdaspur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Suzabad,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kotwa,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Maruadih Railway Settlement,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Benipur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Chhitpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kandwa,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Baragaon,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Sir Gobardhan,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Maruadih,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Susuwahi,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Salarpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Birbhanpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Harpalpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Gangapur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kakarmatta,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Bhagawanpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Lerhupur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Amara Khaira Chak,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Umarha,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Chandpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Dindaspur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kallipur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Chhitauni,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Asapur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Jalal Patti,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kachnar,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Maheshpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Kesaripur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Parmanandpur,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Lahartara,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Sarai Mohana,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Gaura Kala,Uttar Pradesh,Varanasi,,,,,,manual_pilot
town,Allengunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Alopibagh,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Atala,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Attarsuiya,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Bahadurgunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Bai-Ka-Bagh,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Bairahana,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Beli Colony,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Benigunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Bharadwaj Puram,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Chatham Lines,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Chowk,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Civil Lines,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Colonelgunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Daraganj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Darbhanga,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Dhoomangunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Georgetown,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Govindpur,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Johnstongunj,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Kareli,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Katra,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Khuldabad,Uttar Pradesh,Prayagraj,,,,,,manual_pilot
town,Mawana,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Sardhana,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Hastinapur,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Daurala,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Phalawda,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Kithaur,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Parikshitgarh,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Kharkhoda,Uttar Pradesh,Meerut,,,,,,manual_pilot
town,Loni,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Muradnagar,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Modinagar,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Dasna,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Patala,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Niwari,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Faridnagar,Uttar Pradesh,Ghaziabad,,,,,,manual_pilot
town,Bansgaon,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Pipiganj,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Pipraich,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Gola Bazar,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Mundera Bazar,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Sahjanwa,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Kasba Sangrampur urf Unwal,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Barhalganj,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Chaumukha,Uttar Pradesh,Gorakhpur,,,,,,manual_pilot
town,Aonla,Uttar Pradesh,Bareilly,,,,,,manual_pilot
town,Baheri,Uttar Pradesh,Bareilly,,,,,,manual_pilot
town,Faridpur,Uttar Pradesh,Bareilly,,,,,,manual_pilot
town,Meerganj,Uttar Pradesh,Bareilly,,,,,,manual_pilot
town,Nawabganj,Uttar Pradesh,Bareilly,,,,,,manual_pilot
town,Lucknow,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Malihabad,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Kakori,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Bakshi Ka Talab,Uttar Pradesh,Lucknow,,,,,,manual_pilot
town,Agra,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Fatehpur Sikri,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Fatehabad,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Kiraoli,Uttar Pradesh,Agra,,,,,,manual_pilot
town,Kanpur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bilhaur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Bithoor,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Ghatampur,Uttar Pradesh,Kanpur Nagar,,,,,,manual_pilot
town,Ayodhya,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Faizabad,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Rudauli,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Gosainganj,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Bikapur,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Bhadarsa,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Milkipur,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Sohawal,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Kumarganj,Uttar Pradesh,Ayodhya,,,,,,manual_pilot
town,Mathura,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Vrindavan,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Kosi Kalan,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Chhata,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Mant,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Govardhan,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Gokul,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Mahavan,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Baldeo,Uttar Pradesh,Mathura,,,,,,manual_pilot
town,Jhansi,Uttar Pradesh,Jhansi,,,,,,manual_pilot
town,Mauranipur,Uttar Pradesh,Jhansi,,,,,,manual_pilot
town,Moth,Uttar Pradesh,Jhansi,,,,,,manual_pilot
